Sku|OfferTermCode|Platform|Tenancy|Operation|UsageType|Region|Service|InstanceType|OperatingSystem|AdjustedPricePerUnit|OnDemandHourlyCost|BreakevenPercentage|UpfrontFee|LeaseTerm|PurchaseOption|OfferingClass|TermType|Key|ReservedInstanceCost|OnDemandCostForTerm|CostSavings|PercentSavings|vCPU|Memory
BZV2BAWWVD4VWJN3|KGRZ3REEDN|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m1.medium|ap-southeast-1|AmazonElastiCache|cache.m1.medium|ElastiCache Redis|0.044|0.146|0.393111069410563|352|3|MEDIUM_UTILIZATION|STANDARD|RESERVED|3::MEDIUM_UTILIZATION::STANDARD|1508.32|3836.88|2328.56|60.689|1|3.35
BZV2BAWWVD4VWJN3|JRBFQ5DASS|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m1.medium|ap-southeast-1|AmazonElastiCache|cache.m1.medium|ElastiCache Redis|0.056|0.146|0.55714017639332|222|1|MEDIUM_UTILIZATION|STANDARD|RESERVED|1::MEDIUM_UTILIZATION::STANDARD|712.56|1278.96|566.4|44.286|1|3.35
BZV2BAWWVD4VWJN3|YTVHEVGPBZ|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m1.medium|ap-southeast-1|AmazonElastiCache|cache.m1.medium|ElastiCache Redis|0.047|0.146|0.533026834302871|270|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|681.72|1278.96|597.24|46.697|1|3.35
BZV2BAWWVD4VWJN3|DK9W8XRWES|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m1.medium|ap-southeast-1|AmazonElastiCache|cache.m1.medium|ElastiCache Redis|0.083|0.146|0.644336023018703|97|1|LIGHT_UTILIZATION|STANDARD|RESERVED|1::LIGHT_UTILIZATION::STANDARD|824.08|1278.96|454.88|35.566|1|3.35
PA3BNQ77F6QS776P|VG8YD49WWM|ElastiCache Redis|Shared|CreateCacheCluster:0002|EU-NodeUsage:cache.r4.2xlarge|eu-west-1|AmazonElastiCache|cache.r4.2xlarge|ElastiCache Redis|0.238|1.014|0.434729614919288|5330|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|11584.64|26647.92|15063.28|56.527|8|50.47
PA3BNQ77F6QS776P|YTVHEVGPBZ|ElastiCache Redis|Shared|CreateCacheCluster:0002|EU-NodeUsage:cache.r4.2xlarge|eu-west-1|AmazonElastiCache|cache.r4.2xlarge|ElastiCache Redis|0.319|1.014|0.628691470103483|2790|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|5584.44|8882.64|3298.2|37.131|8|50.47
9B5D8ZQGGAXJMDQ6|YTVHEVGPBZ|ElastiCache Memcached|Shared|CreateCacheCluster:0001|EUW3-NodeUsage:cache.t2.micro|eu-west-3|AmazonElastiCache|cache.t2.micro|ElastiCache Memcached|0.006|0.019|0.676279740447008|60|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|112.56|166.44|53.88|32.372|1|0.555
9B5D8ZQGGAXJMDQ6|VG8YD49WWM|ElastiCache Memcached|Shared|CreateCacheCluster:0001|EUW3-NodeUsage:cache.t2.micro|eu-west-3|AmazonElastiCache|cache.t2.micro|ElastiCache Memcached|0.005|0.019|0.469438436273332|103|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|234.4|499.32|264.92|53.056|1|0.555
CJKZ5DWGA6G46U2P|VG8YD49WWM|ElastiCache Redis|Shared|CreateCacheCluster:0002|APN1-NodeUsage:cache.m4.xlarge|ap-northeast-1|AmazonElastiCache|cache.m4.xlarge|ElastiCache Redis|0.107|0.452|0.385986180143048|1773|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|4584.96|11878.56|7293.6|61.401|4|14.28
CJKZ5DWGA6G46U2P|YTVHEVGPBZ|ElastiCache Redis|Shared|CreateCacheCluster:0002|APN1-NodeUsage:cache.m4.xlarge|ap-northeast-1|AmazonElastiCache|cache.m4.xlarge|ElastiCache Redis|0.149|0.452|0.53547904796541|815|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|2120.24|3959.52|1839.28|46.452|4|14.28
